eFG_pct,Team_eFG_pct,2019_eFG_pct,Last_3_eFG_pct,Last_1_eFG_pct,Home_eFG_pct,Away_eFG_pct,2018_eFG_pct,2019_Turnover_rate,Last_3_Turnover_rate,Last_1_Turnover_rate,Home_Turnover_rate,Away_Turnover_rate,2018_Turnover_rate,2019_Offensive_Rebound_Rate,Last_3_Offensive_Rebound_Rate,Last_1_Offensive_Rebound_Rate,Home_Offensive_Rebound_Rate,Away_Offensive_Rebound_Rate,2018_Offensive_Rebound_Rate,2019_Free_Throw_Pct,Last_3_Free_Throw_Pct,Last_1_Free_Throw_Pct,Home_Free_Throw_Pct,Away_Free_Throw_Pct,2018_Free_Throw_Pct,,,
90,Austin Peay, 0.52 , 0.56 , 0.59 , 0.59 , 0.46 , 0.53 , 0.19 , 0.20 , 0.09 , 0.18 , 0.20 , 0.16 , 0.34 , 0.36 , 0.29 , 0.39 , 0.31 , 0.32 , 0.72 , 0.73 , 0.65 , 0.70 , 0.74 , 0.71 ,,,
62,Ball State, 0.53 , 0.52 , 0.68 , 0.55 , 0.49 , 0.52 , 0.17 , 0.21 , 0.12 , 0.19 , 0.13 , 0.20 , 0.27 , 0.26 , 0.32 , 0.26 , 0.29 , 0.26 , 0.62 , 0.74 , 0.79 , 0.65 , 0.57 , 0.70 ,,,
119,Baylor, 0.51 , 0.49 , 0.36 , 0.51 , 0.51 , 0.51 , 0.17 , 0.16 , 0.22 , 0.18 , 0.16 , 0.19 , 0.36 , 0.36 , 0.37 , 0.39 , 0.33 , 0.37 , 0.73 , 0.74 , 0.82 , 0.67 , 0.80 , 0.68 ,,,
29,Belmont, 0.55 , 0.59 , 0.60 , 0.60 , 0.53 , 0.58 , 0.17 , 0.22 , 0.23 , 0.17 , 0.18 , 0.15 , 0.22 , 0.17 , 0.12 , 0.19 , 0.24 , 0.24 , 0.68 , 0.68 , 0.75 , 0.70 , 0.67 , 0.74 ,,,
312,Beth-Cook, 0.44 , 0.41 , 0.37 , -- , 0.44 , 0.48 , 0.19 , 0.14 , 0.10 , -- , 0.19 , 0.21 , 0.24 , 0.27 , 0.11 , -- , 0.24 , 0.32 , 0.70 , 0.71 , 0.69 , -- , 0.70 , 0.61 ,,,
179,Binghamton, 0.49 , 0.49 , 0.58 , 0.52 , 0.47 , 0.50 , 0.17 , 0.15 , 0.18 , 0.14 , 0.20 , 0.18 , 0.29 , 0.33 , 0.31 , 0.32 , 0.27 , 0.19 , 0.69 , 0.75 , 0.75 , 0.72 , 0.66 , 0.64 ,,,
187,Boise State, 0.49 , 0.56 , 0.52 , 0.46 , 0.53 , 0.54 , 0.16 , 0.14 , 0.14 , 0.13 , 0.19 , 0.17 , 0.19 , 0.17 , 0.12 , 0.15 , 0.24 , 0.22 , 0.73 , 0.75 , 0.92 , 0.74 , 0.71 , 0.73 ,,,
194,Boston Col, 0.49 , 0.49 , 0.58 , 0.48 , 0.51 , 0.49 , 0.21 , 0.22 , 0.23 , 0.18 , 0.29 , 0.17 , 0.21 , 0.23 , 0.28 , 0.17 , 0.29 , 0.27 , 0.67 , 0.46 , 0.50 , 0.70 , 0.59 , 0.70 ,,,
245,Boston U, 0.47 , 0.48 , 0.42 , 0.58 , 0.44 , 0.53 , 0.18 , 0.16 , 0.11 , 0.17 , 0.18 , 0.18 , 0.29 , 0.38 , 0.44 , 0.23 , 0.31 , 0.25 , 0.65 , 0.69 , 0.69 , 0.58 , 0.67 , 0.68 ,,,
241,Bowling Grn, 0.47 , 0.47 , 0.49 , 0.53 , 0.45 , 0.51 , 0.12 , 0.11 , 0.08 , 0.10 , 0.13 , 0.16 , 0.23 , 0.23 , 0.17 , 0.18 , 0.25 , 0.29 , 0.72 , 0.62 , 0.75 , 0.60 , 0.78 , 0.67 ,,,
255,Bradley, 0.47 , 0.47 , 0.59 , 0.51 , 0.42 , 0.50 , 0.18 , 0.19 , 0.16 , 0.16 , 0.20 , 0.19 , 0.36 , 0.33 , 0.38 , 0.39 , 0.33 , 0.25 , 0.72 , 0.70 , 0.81 , 0.72 , 0.71 , 0.69 ,,,
257,Brown, 0.47 , 0.46 , 0.42 , 0.49 , 0.43 , 0.50 , 0.22 , 0.22 , 0.20 , 0.22 , 0.23 , 0.20 , 0.36 , 0.34 , 0.23 , 0.36 , 0.36 , 0.22 , 0.72 , 0.75 , 0.83 , 0.73 , 0.71 , 0.72 ,,,
220,Bryant, 0.48 , 0.46 , 0.45 , 0.50 , 0.47 , 0.49 , 0.19 , 0.17 , 0.12 , 0.18 , 0.20 , 0.18 , 0.29 , 0.24 , 0.24 , 0.28 , 0.30 , 0.25 , 0.63 , 0.54 , 0.31 , 0.57 , 0.69 , 0.71 ,,,
205,Bucknell, 0.48 , 0.48 , 0.44 , 0.49 , 0.48 , 0.53 , 0.20 , 0.17 , 0.21 , 0.20 , 0.19 , 0.17 , 0.24 , 0.19 , 0.15 , 0.22 , 0.26 , 0.24 , 0.74 , 0.77 , 0.82 , 0.75 , 0.73 , 0.75 ,,,
231,Buffalo, 0.47 , 0.52 , 0.43 , 0.52 , 0.46 , 0.53 , 0.17 , 0.18 , 0.20 , 0.20 , 0.15 , 0.16 , 0.31 , 0.28 , 0.28 , 0.27 , 0.32 , 0.31 , 0.66 , 0.61 , 0.63 , 0.46 , 0.73 , 0.68 ,,,
22,Butler, 0.56 , 0.58 , 0.62 , 0.56 , 0.56 , 0.52 , 0.15 , 0.18 , 0.15 , 0.13 , 0.20 , 0.16 , 0.29 , 0.22 , 0.10 , 0.28 , 0.32 , 0.23 , 0.73 , 0.76 , 0.77 , 0.71 , 0.79 , 0.74 ,,,
17,BYU, 0.57 , 0.66 , 0.68 , 0.52 , 0.58 , 0.53 , 0.18 , 0.15 , 0.10 , 0.16 , 0.18 , 0.15 , 0.17 , 0.14 , 0.08 , 0.13 , 0.19 , 0.22 , 0.74 , 0.81 , 0.85 , 0.71 , 0.76 , 0.73 ,,,
157,Cal Poly, 0.50 , 0.52 , 0.57 , 0.57 , 0.49 , 0.47 , 0.18 , 0.14 , 0.15 , 0.15 , 0.19 , 0.17 , 0.22 , 0.23 , 0.12 , 0.12 , 0.23 , 0.24 , 0.63 , 0.68 , 0.68 , 0.68 , 0.62 , 0.65 ,,,
188,Cal St Nrdge, 0.49 , 0.48 , 0.48 , 0.55 , 0.47 , 0.52 , 0.19 , 0.14 , 0.18 , 0.15 , 0.19 , 0.16 , 0.23 , 0.25 , 0.27 , 0.21 , 0.24 , 0.26 , 0.70 , 0.74 , 0.75 , 0.71 , 0.70 , 0.64 ,,,
115,California, 0.51 , 0.48 , 0.32 , 0.60 , 0.39 , 0.49 , 0.21 , 0.22 , 0.23 , 0.21 , 0.21 , 0.16 , 0.20 , 0.15 , 0.12 , 0.23 , 0.17 , 0.21 , 0.72 , 0.73 , 0.81 , 0.73 , 0.72 , 0.72 ,,,
185,California Baptist, 0.49 , 0.50 , 0.47 , 0.52 , 0.43 , 0.51 , 0.18 , 0.14 , 0.16 , 0.18 , 0.19 , 0.18 , 0.27 , 0.28 , 0.23 , 0.29 , 0.23 , 0.26 , 0.76 , 0.82 , 0.76 , 0.79 , 0.71 , 0.78 ,,,
123,Campbell, 0.51 , 0.48 , 0.46 , 0.51 , 0.51 , 0.53 , 0.18 , 0.20 , 0.12 , 0.15 , 0.18 , 0.15 , 0.22 , 0.15 , 0.10 , 0.15 , 0.23 , 0.23 , 0.82 , 0.80 , 0.78 , 0.78 , 0.83 , 0.75 ,,,
151,Canisius, 0.50 , 0.45 , 0.39 , 0.55 , 0.48 , 0.51 , 0.22 , 0.19 , 0.17 , 0.24 , 0.22 , 0.18 , 0.30 , 0.26 , 0.23 , 0.41 , 0.26 , 0.24 , 0.70 , 0.71 , 0.70 , 0.66 , 0.71 , 0.69 ,,,
298,Central Ark, 0.45 , 0.46 , 0.40 , 0.33 , 0.46 , 0.49 , 0.25 , 0.31 , 0.27 , 0.25 , 0.25 , 0.19 , 0.20 , 0.25 , 0.33 , 0.27 , 0.19 , 0.22 , 0.66 , 0.64 , 0.74 , 0.73 , 0.65 , 0.73 ,,,
341,Central Conn, 0.41 , 0.47 , 0.42 , 0.44 , 0.40 , 0.47 , 0.22 , 0.14 , 0.15 , 0.20 , 0.23 , 0.19 , 0.18 , 0.16 , 0.27 , 0.19 , 0.17 , 0.29 , 0.61 , 0.57 , 0.62 , 0.64 , 0.59 , 0.78 ,,,
143,Central FL, 0.50 , 0.57 , 0.57 , 0.52 , 0.48 , 0.53 , 0.19 , 0.17 , 0.19 , 0.20 , 0.18 , 0.17 , 0.34 , 0.28 , 0.13 , 0.31 , 0.37 , 0.28 , 0.68 , 0.71 , 0.70 , 0.66 , 0.71 , 0.65 ,,,
171,Central Mich, 0.49 , 0.51 , 0.59 , 0.54 , 0.40 , 0.51 , 0.14 , 0.15 , 0.12 , 0.13 , 0.17 , 0.16 , 0.31 , 0.30 , 0.28 , 0.36 , 0.23 , 0.28 , 0.76 , 0.81 , 0.83 , 0.76 , 0.77 , 0.67 ,,,
